     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
       0;   1;   2;   3;   4;   5;   6;   7;   8;   9;  10;  11;  12;  13; 
    0.00; 4; 740; 0.28; 0.0; 0.0; 1.0; 2642.86; 1955714.18; 1740585.62; 0.0; 58019.521; 1.861; 6.7; 
    0.03; 4; 740; 0.28; 1.861; 4.048; 0.712; 1881.71; 1392468.36; 1239296.84; 0.0; 99329.416; 2.435; 8.766; 
    0.07; 4; 740; 0.28; 2.435; 5.296; 0.654; 1728.43; 1279037.46; 1138343.339; 0.0; 137274.194; 2.863; 10.307; 
    0.10; 4; 740; 0.28; 2.863; 6.227; 0.616; 1628.0; 1204720.0; 1072200.8; 0.0; 173014.221; 3.214; 11.57; 
    0.13; 4; 740; 0.28; 3.214; 6.991; 0.589; 1556.64; 1151915.82; 1025205.08; 0.0; 207187.724; 3.517; 12.661; 
    0.17; 4; 740; 0.28; 3.517; 7.65; 0.567; 1498.5; 1108890.0; 986912.1; 0.0; 240084.794; 3.786; 13.63; 
    0.20; 4; 740; 0.28; 3.786; 8.235; 0.548; 1448.29; 1071731.64; 953841.16; 0.0; 271879.499; 4.029; 14.504; 
    0.23; 4; 740; 0.28; 4.029; 8.764; 0.533; 1408.64; 1042395.82; 927732.28; 0.0; 302803.908; 4.252; 15.307; 
    0.27; 4; 740; 0.28; 4.252; 9.249; 0.52; 1374.29; 1016971.64; 905104.76; 0.0; 332974.067; 4.459; 16.052; 
    0.30; 4; 740; 0.28; 4.459; 9.699; 0.508; 1342.57; 993502.54; 884217.261; 0.0; 362447.976; 4.652; 16.747; 
    0.33; 4; 740; 0.28; 4.652; 10.119; 0.497; 1313.5; 971990.0; 865071.1; 0.0; 391283.679; 4.833; 17.399; 
    0.37; 4; 740; 0.28; 4.833; 10.512; 0.488; 1289.71; 954388.36; 849405.64; 0.0; 419597.2; 5.005; 18.018; 
    0.40; 4; 740; 0.28; 5.005; 10.886; 0.479; 1265.93; 936787.46; 833740.839; 0.0; 447388.561; 5.168; 18.605; 
    0.43; 4; 740; 0.28; 5.168; 11.241; 0.471; 1244.79; 921141.64; 819816.06; 0.0; 474715.763; 5.324; 19.166; 
    0.47; 4; 740; 0.28; 5.324; 11.58; 0.463; 1223.64; 905495.82; 805891.28; 0.0; 501578.806; 5.472; 19.699; 
    0.50; 4; 740; 0.28; 5.472; 11.902; 0.457; 1207.79; 893761.64; 795447.86; 0.0; 528093.735; 5.615; 20.214; 
    0.53; 4; 740; 0.28; 5.615; 12.213; 0.45; 1189.29; 880071.64; 783263.76; 0.0; 554202.527; 5.752; 20.707; 
    0.57; 4; 740; 0.28; 5.752; 12.511; 0.444; 1173.43; 868337.46; 772820.339; 0.0; 579963.205; 5.884; 21.182; 
    0.60; 4; 740; 0.28; 5.884; 12.798; 0.439; 1160.21; 858558.36; 764116.94; 0.0; 605433.77; 6.012; 21.643; 
    0.63; 4; 740; 0.28; 6.012; 13.077; 0.433; 1144.36; 846824.18; 753673.52; 0.0; 630556.221; 6.136; 22.09; 
    0.67; 4; 740; 0.28; 6.136; 13.347; 0.428; 1131.14; 837045.82; 744970.78; 0.0; 655388.58; 6.255; 22.518; 
    0.70; 4; 740; 0.28; 6.255; 13.605; 0.424; 1120.57; 829222.54; 738008.061; 0.0; 679988.849; 6.372; 22.939; 
    0.73; 4; 740; 0.28; 6.372; 13.86; 0.419; 1107.36; 819444.18; 729305.32; 0.0; 704299.026; 6.484; 23.342; 
