     num; pos; vol; res; tur; amp; pow; eAd; eFl; spd; 
       0;   1;   2;   3;   4;   5;   6;   7;   8;   9; 
       0; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       1; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       2; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       3; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       4; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       5; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       6; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       7; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       8; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
       9; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      10; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      11; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      12; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      13; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      14; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      15; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      16; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      17; 0; 412.5; inf; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 
      18; 1; 412.5; 4.456; 0.0; 92.572; 38185.95; 636.432; 636.432; 0.702; 
      19; 1; 412.5; 4.456; 4.185; 92.572; 38185.95; 636.432; 1272.864; 0.994; 
      20; 1; 412.5; 4.456; 5.918; 92.572; 38185.95; 636.432; 1909.296; 1.217; 
      21; 1; 412.5; 4.456; 7.248; 92.572; 38185.95; 636.432; 2545.728; 1.404; 
      22; 1; 412.5; 4.456; 8.369; 92.572; 38185.95; 636.432; 3182.16; 1.57; 
      23; 1; 412.5; 4.456; 9.357; 92.572; 38185.95; 636.432; 3818.592; 1.717; 
      24; 1; 412.5; 4.456; 10.25; 92.572; 38185.95; 636.432; 4455.024; 1.858; 
      25; 1; 412.5; 4.456; 11.071; 92.572; 38185.95; 636.432; 5091.456; 1.984; 
      26; 1; 412.5; 4.456; 11.836; 92.572; 38185.95; 636.432; 5727.888; 2.106; 
      27; 1; 412.5; 4.456; 12.554; 92.572; 38185.95; 636.432; 6364.32; 2.218; 
      28; 1; 412.5; 4.456; 13.233; 92.572; 38185.95; 636.432; 7000.752; 2.326; 
      29; 1; 412.5; 4.456; 13.879; 92.572; 38185.95; 636.432; 7637.184; 2.43; 
      30; 1; 412.5; 4.456; 14.496; 92.572; 38185.95; 636.432; 8273.616; 2.531; 
      31; 1; 412.5; 4.456; 15.088; 92.572; 38185.95; 636.432; 8910.048; 2.624; 
      32; 1; 412.5; 4.456; 15.657; 92.572; 38185.95; 636.432; 9546.48; 2.718; 
      33; 1; 412.5; 4.456; 16.207; 92.572; 38185.95; 636.432; 10182.912; 2.808; 
      34; 1; 412.5; 4.456; 16.738; 92.572; 38185.95; 636.432; 10819.344; 2.894; 
      35; 1; 412.5; 4.456; 17.253; 92.572; 38185.95; 636.432; 11455.776; 2.977; 
      36; 1; 412.5; 4.456; 17.754; 92.572; 38185.95; 636.432; 12092.208; 3.06; 
      37; 1; 412.5; 4.456; 18.24; 92.572; 38185.95; 636.432; 12728.64; 3.139; 
      38; 1; 412.5; 4.456; 18.714; 92.572; 38185.95; 636.432; 13365.072; 3.215; 
      39; 1; 412.5; 4.456; 19.176; 92.572; 38185.95; 636.432; 14001.504; 3.29; 
      40; 1; 412.5; 4.456; 19.627; 92.572; 38185.95; 636.432; 14637.936; 3.366; 
      41; 1; 412.5; 4.456; 20.069; 92.572; 38185.95; 636.432; 15274.368; 3.438; 
      42; 1; 412.5; 4.456; 20.5; 92.572; 38185.95; 636.432; 15910.8; 3.51; 
