     tim; pos; vol; res; tur; rat; amp; pow; eAd; eFl; sMs; sKh; 
       0;   1;   2;   3;   4;   5;   6;   7;   8;   9;   10;   11; 
    0.00; 1; 725; 4.456; 0.0; 1.0; 162.702; 117958.95; 1549.316; 1549.316; 0.304; 1.094; 
    0.02; 1; 725; 4.456; 0.662; 0.931; 151.476; 109820.1; 1413.668; 2962.984; 0.421; 1.516; 
    0.03; 1; 725; 4.456; 0.915; 0.908; 147.733; 107106.425; 1368.44; 4331.424; 0.509; 1.832; 
    0.05; 1; 725; 4.456; 1.106; 0.891; 144.967; 105101.075; 1335.018; 5666.442; 0.582; 2.095; 
    0.07; 1; 725; 4.456; 1.265; 0.877; 142.69; 103450.25; 1307.504; 6973.946; 0.645; 2.322; 
    0.08; 1; 725; 4.456; 1.404; 0.865; 140.737; 102034.325; 1283.905; 8257.851; 0.702; 2.527; 
    0.10; 1; 725; 4.456; 1.527; 0.855; 139.11; 100854.75; 1264.246; 9522.097; 0.754; 2.714; 
    0.12; 1; 725; 4.456; 1.64; 0.846; 137.646; 99793.35; 1246.556; 10768.653; 0.802; 2.887; 
    0.13; 1; 725; 4.456; 1.744; 0.838; 136.344; 98849.4; 1230.823; 11999.476; 0.846; 3.046; 
    0.15; 1; 725; 4.456; 1.841; 0.83; 135.043; 97906.175; 1215.103; 13214.579; 0.888; 3.197; 
    0.17; 1; 725; 4.456; 1.932; 0.823; 133.904; 97080.4; 1201.34; 14415.919; 0.928; 3.341; 
    0.18; 1; 725; 4.456; 2.018; 0.817; 132.928; 96372.8; 1189.547; 15605.466; 0.965; 3.474; 
    0.20; 1; 725; 4.456; 2.099; 0.811; 131.951; 95664.475; 1177.741; 16783.207; 1.001; 3.604; 
    0.22; 1; 725; 4.456; 2.177; 0.805; 130.975; 94956.875; 1165.948; 17949.155; 1.035; 3.726; 
    0.23; 1; 725; 4.456; 2.252; 0.8; 130.162; 94367.45; 1156.124; 19105.279; 1.068; 3.845; 
    0.25; 1; 725; 4.456; 2.323; 0.795; 129.348; 93777.3; 1146.288; 20251.567; 1.1; 3.96; 
    0.27; 1; 725; 4.456; 2.392; 0.79; 128.535; 93187.875; 1136.465; 21388.032; 1.13; 4.068; 
    0.28; 1; 725; 4.456; 2.458; 0.785; 127.721; 92597.725; 1126.629; 22514.661; 1.159; 4.172; 
    0.30; 1; 725; 4.456; 2.522; 0.781; 127.07; 92125.75; 1118.763; 23633.424; 1.188; 4.277; 
    0.32; 1; 725; 4.456; 2.584; 0.777; 126.419; 91653.775; 1110.896; 24744.32; 1.215; 4.374; 
    0.33; 1; 725; 4.456; 2.644; 0.773; 125.769; 91182.525; 1103.042; 25847.362; 1.242; 4.471; 
    0.35; 1; 725; 4.456; 2.702; 0.769; 125.118; 90710.55; 1095.176; 26942.538; 1.268; 4.565; 
